天干1,天干2,天干3,天干4,地支1,地支2,地支3,地支4,性别,合并,得分,评语
8,10,3,9,4,2,7,11,1,乾辛酉丙申丁丑庚戌,5,此造是莲生老师的一手八字，感谢莲生老师提供一手八字供大龙盲派八字实战打擂。反馈详尽，节选部分，上面图片有全部反馈。命主初中毕业，出生家境普通，一婚离异，跟着大哥做事情，不是正经工作之人，壬辰年打人，己亥年被判入狱，癸卯年出狱。乾：辛酉?丙申?丁丑?庚戌（空申酉）胎元：丁亥??命宫：丁酉大运：乙未8?甲午?癸巳?壬辰?辛卯?庚寅?己丑丁丑日元生丙申月，财星当令，月上财透劫财，天干比却合财，地支戌丑刑。此造特殊，有两种可能，一顺着财官走，二财重身轻。按大龙盲派秘传，查其气的强弱，立秋后二十天出生，湖北人，比劫得地，火有余气，财重身轻。当我得出此结论，我脑子里突然就有命主会有牢狱的念头。乙未运，印星透出，助身，看差有学历。其实乙未运，印星以入墓论，直断初中。看层次，挣钱发财看20多，癸巳运，比却见根，可以发财。可惜癸巳合，杀合比却的禄，也是财来财往，断其温饱。微信群里着重语音分享了牢狱，语音的气场与文字分享当然不一样，欢迎有志与命理学习研究的易友进群交流，当然只知获得不知付出的不要来，八字实战群建群一年多，清退差不多三百人。问己亥，癸卯年何事？观其在壬辰运，壬从申中出，丁壬合，辰冲戌，申辰拱子水，命局驳杂，大凶之兆。流年己亥，食神合官，大运官星见根。食神虚透，合不住官，牢狱。癸卯年，杀印相生卯戌合，合动比却库，戌刑丑，制丑中杀，出狱。大龙盲派以理服人，癸巳运壬辰年犯事，照样没事，命理学的因果报应，必须要大运引动。为什么壬辰运，不是寿尽而是牢狱？各位易友可以思考，观其后运，此造寿不长。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,3,7,3,2,10,7,5,1,乾丙寅庚寅乙酉庚辰,5,当时我发公众号文章《派出所所长，伤官制官》，易友发一个盘，他认为伤官制住官星，发贵。我只看一眼，就知道，这官制不住，必然无贵。当然这盘可能是他自己的盘，和多数人一样，看到好的格局，与自己类似，总会套好的事。乾造：丙寅?庚寅?乙酉?庚辰（空午未）胎元：辛巳??命宫：己亥大运：辛卯8?壬辰?癸巳?甲午?乙未乙酉日元生庚寅月，比劫当令月上透官，双虎从年伏吟到月，身强体旺。乙庚合官座酉杀，年上丙寅，伤官座长身克官，官能克住有贵，克不住，无贵。8岁行辛卯运，正是读书时，要制官，丙辛合，官反而无制，学历不高，反馈是初中。层次降低，因为发贵，多数都要有高学历，又是86年生人壬辰运，印克伤官，辰酉合，命局中的官被加强，用伤官伤官被制，官应制大运反而生，不可能发贵。只看一眼秒断无贵，反馈是个辅警。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
4,2,2,6,4,6,2,6,2,坤丁丑乙巳丁巳乙巳,5,在群里看到这样偏枯混乱的盘，我喜欢参断，如上图。因为偏枯，取用不定，主要情况如下：温饱，三本，企业电力公司一婚一女乙巳结婚生女，2017：生病，2021：事业财运好有一姐，自己双胞，另一是哥，父母双全，父高血压，20毕业工作。21年开始，事业财运好。24年农历9月订婚，25年正月22，2月19结婚，同年生女。坤造：丁丑?乙巳?丁巳?乙巳（空子丑）胎元：丙申??命宫：丁未大运：丙午8?丁未?戊申?己酉丁巳日元生乙巳月，比劫当令月上透印，巳火从月日时伏吟，月时两层印星生，比劫一片成势，刑克六亲。年上丁丑，丑中辛为父，丑生命无刑冲，父没有大问题。命不见财官，丁巳日官星在夫宫死绝，将来婚姻老公很可能有问题。断家境一般，学历二本左右，25年结婚。喜财不见财，以食神当财，丙午运穿丑，财富一般。忌印印双透无制，丁未运高考，未是印库，食神化比劫，学历不好，实际三本。命不见官，巳中藏庚，以财为夫。丁未运，未冲丑，有花无果。戊申运，伤官生财，乙巳流年，巳申合财，结婚之象。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,7,10,10,8,8,7,3,1,乾甲午癸酉辛未庚寅,5,上面是一位缘主的反馈与认可，与古镇一嘴骗子自吹自擂，用托假算命，真反馈就踢有本质区别。关于寿元有好多种断法，有食伤，印为寿元，这是主流看法，实际上，财，官，比劫都可以看寿元，不同组合的命盘，取用不一样。下面的案例是千里马老师提供的一手案例，真实可靠，今天与大家共同学习。乾造：甲午?癸酉?辛未?庚寅（空戌亥）胎元：甲子??命宫：庚午大运：甲戌10?乙亥?丙子?丁丑?戊寅?己卯?庚辰辛未日元生癸酉月，禄元当令，上透癸食，时上庚寅，比劫生食，食神生年上的财。年上甲午，财生杀，寅午半合杀，命宫座杀，杀破禄，寿不长。地支寅午合，午未合，实际未印有力，食神支无根，只能靠自己挣小钱。问层次，寿元？中年行北方运，食伤见根，但命局食伤无力，虽行运亦无发迹。晚年行财虽喜，但官无制，有点小财，断温饱。论寿元，月上禄坏，时柱庚寅，比劫来克财，财坏印，所以庚不能坏。戊寅运，戊从寅中出，也是时上的寅，生庚，没有问题。己卯运，卯午破，己印禄元坏，财坏印，庚也坏。癸卯年交运庚辰运，庚在胎养之地，也是投胎之象。男怕交运，气驳。卯午破，坏印禄。甲辰年，财坏印，断禄尽。实际癸卯重病，乙巳年不禄。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,8,3,5,1,1,10,10,2,坤癸未丙辰甲子癸酉,5,这是旭日老师发的一个特别命盘，官印相生，很多老师断成很好的命造。反馈后大跌眼镜，下面是详细反馈：父母与继父母互换，父母离婚后，父娶继母，母嫁给继母的老公。随奶奶长大，初二学历，小姐，14岁被继母的丈夫和儿子糟蹋后，被鸡头控制挣钱，目前为止身上只有够一天的吃饭钱。辛丑年曾流产过一个，共五个。辛丑年奶奶去世，家里种地，贫穷，父老实。母改嫁三次，第一任遭家暴，生下一子，三任是继母的丈夫，对子女没有亲情，很自私。可以参考之前类似的案例：坤造：癸未?丙辰?甲子?癸酉（空戌亥）胎元：丁未??命宫：乙卯大运：丁巳6?戊午?己未?庚申?辛酉?壬戌?癸亥甲子日元生丙辰月，财星当令月上透伤官，年月双财，财有伤官生，辰酉合财重生官，喜印化官生身，自座印星，年时双印透制伤贴身相生有情，这样看是个好命。年上癸未，癸是母，未是父。辰月癸死绝之地，座未又是死绝，怎能生身，母亲自顾不暇，地去子未穿，印根损坏，格局混乱，层次天上地下翻转。问出生家庭，职业，学历，辛丑年？答：出身：普通。学历：高中。职业：小姐。辛丑年下海，伤病。财重喜印而财来坏印，父母能力低下，家境普通。癸水在年月被克严重，只能靠时上酉金生，必然是多婚命。癸未，未是父癸是第一妻，子未穿，子是第二婚。学历看印星，命中印被克，一路南方运生财坏印，03年生人，给了高中，实际初中没毕业。财重喜印比，年上未土是财又是比劫库，必然要靠未中比劫助身克财，未上透癸印，印是技能。未可以理解成工作之地，子未穿财坏印代表工作的地方是非法取财，比劫库表示有很多姐妹在一起，必然是小姐。癸水被克，很低档的小店。辛丑年戊午运，伤官生财，戊癸合财坏印，应凶。辛丑年，子丑合，官来克身，答伤病，实际是打胎。继父的事，讲实话，盲断应该很难，但是反馈后，可以解释，各位易友可以自行参断。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,7,2,8,10,10,4,6,2,坤丙午乙未癸酉丁巳,5,"八字看疾病，主要通过命局的五行对应人体五脏：木（肝胆、筋骨），?火（心脏、血液、小肠），土（脾胃、消化系统），金（肺、呼吸系统、皮肤），水（肾、泌尿系统、生殖系统），这是主要方面，实际好多病症，我问中医，很难说清是什么五行。因此，八字看疾病，只能是粗略参断，供参考，唯一确定的是，命局在大运流年引动，加剧命局五行失衡，从而引起病症。今天的案例是B站实测，问她母亲今年怎样？实际我一眼看见大凶癌症，考虑到别人的接受度，我只断身体有疾，病在肺和泌尿系统，实际是子宫癌。坤造：丙午?乙未?癸酉?丁巳（空戌亥）胎元：丙戌??命宫：癸巳大运：甲午3?癸巳?壬辰?辛卯?庚寅?己丑?戊子癸酉日元生乙未月，七杀当令月上透食，年上丙午时上丁巳，财重生杀旺。本来食神制杀，可惜食生财，午未合食不能制杀，反而辗转生杀。癸在酉是病地，财坏印，整个命局偏枯混乱，格局不高。问丙午年己丑运什么事？有杀先论杀，命局财生杀，所以行辛卯，庚寅运，天干透印，地支食伤制杀，问题不大。己丑运七杀透克身，必然大凶。丙午流年，是命局丙午伏吟，引动午未合，财坏印，癸水死绝之地，我一看要见生死，癌病。断肺泌尿系统，金水受伤。子宫癌早期偏中。""月令未土是全局的忌神吧，按道理说未和大运丑相冲，把忌神冲了，把丑金库重开应该是好的吧""，命主女儿的分析 ，这就是书房派没有实战经验，冲去未土，丑不是土？各位易友，八字看疾病，有什么心得可以留言交流。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。"
1,11,8,8,4,8,2,6,2,坤甲戌辛未丁未乙巳,5,这是一位易友分享的案例，平生未见，各位易友参考。下面是其人生主要经历：2016年，骗自己闺蜜去新疆，然后闺蜜被L奸，生下一个孩子。2017年闺蜜回来，带人吓她父母，父母被吓当时没事，过了几天，突然猝死，告不赢!2019年，做传销，忽悠自己姐姐，姐夫，姐夫3千多万赔进去，直接破产。2020年，做口罩，倒腾转卖二手口罩机，那些老板亏了，带人搞她，后来靠出卖色相跟其中一个老板好上。2021年，跟老板好上的同时，跟别的男人那啥，怀孕，让老板养2022年，被老板发现，让她去陪领导睡觉，刚出生的女儿被不小心扔进熔炼钢铁的铁水里，尸骨无存2023年，套路家人，跟自己大伯争家产，因老人生前一句话，还有视频，法院判给她拿到一套房子。偏枯的女命案例可以参考：坤造：甲戌?辛未?丁未?乙巳（空寅卯）胎元：壬戌??命宫：己巳大运：庚午5?己巳?戊辰?丁卯?丙寅?乙丑?甲子丁未日元生辛未月，食神当令月上透财，地支食伤泄身太过，喜时上乙巳，印生比劫助身。丁乙从未中透，乙木枭印本为吉，主敏锐，领悟力，创造力。月上辛财坏印，乙从未中出，乙天生受克不完整，贪财坏印，背信弃义，枭印代表负面力量，阴险，自私，狡诈。日空寅卯，印禄空更加剧放大枭印的负作用。己巳运丙申年，大运巳为喜助身，巳代表别一个人。流年丙申，巳申刑合，闺蜜被L奸。己土食神代表子女，巳为生，闺蜜生下一个孩子。己巳运丁酉年，甲己合动印星为母，甲在巳运死地，丁酉年穿动戌，母猝死。戊辰运己亥年，大运伤官泄身，加剧了命局食伤泄身的负面作用，必然要大破耗。流年己亥冲巳，巳是命主的姐姐，害姐家3千多万赔进去，直接破产。未刑戌，戌上透甲印，食伤坏被印克，不利子女，戊辰大运，冲戌引动，流年壬寅，甲木见根克戌，女儿尸骨无存。戊辰大运癸卯年，命主喜印流年杀来生印，印代表事业祖房产，杀代表官方，杀生印克食伤，套路家人，因爷爷奶奶生前一句话，还有视频，跟自己大伯争家产，最后闹上法院，判给她拿到一套房子。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
6,8,4,4,5,11,1,3,1,乾己未丁卯戊戌甲寅,5,这是4月15日八字实战群508期的打擂题，当时看八字原命寿不长，大运流年都有死象，断死亡，后面反馈没有死。4月23日，艾草天医老师反馈命主天4月19日去世，农历三月十一，戊辰月甲寅日。艾草天医老师，认识有四年多的易友，一起打擂，六爻八字都很精通，感恩艾草天医带来的一手八字与详细反馈。大龙盲派八字实战群，其它案例：乾：己未　丁卯　戊戌　甲寅（空辰巳）胎元：戊午?命宫：乙亥大运：丙寅9　乙丑　甲子?癸亥?壬戌戊戌日元生丁卯月，官当令生丁印，年上比却助身，日上甲寅，藏官透杀。粗看八字，杀印相生，发富发贵。实际上群里很多老师，断的好命，所以当天的成绩不太理想。细看命局，卯戌合，用体合官，甲己合，阳刃架杀，都是合制官杀。卯戌合，丁从戌中出，墓中的丁火在卯月，是虚透，年上阳刃分印，时上甲寅，七杀在卯月旺极，这点丁火化不了杀，所以格局不高，富贵无缘。层次温饱，自由职业合同工。命书讲座下比却克妻，而此造用座下的体合制官，命不见财，财不坏印，所以一婚。所谓书房派断命，肯定不行。流年主要讲下壬寅，癸卯年。命局喜印忌财坏印，癸亥运，癸水克丁印，寅亥合，加强七杀的力量，寅亥合寅中的丙火也坏，整个命局大运体现的财杀克身，阴灭阳，禄尽。命局阴被制尽，阳被制尽都是死亡之象，学命者不可不察。壬寅年，丁壬合，财来合印，生杀，所以是投资破财。癸卯年，癸克丁，与大运癸伏吟，是同一象。卯戌合，座下体受制。卯与月上的卯也是一个象，不过丁卯生月有印化，癸卯财来坏印，断的死亡。当时反馈是脑溢血，只能卧床，艾草甚至没有反馈命主有死亡之兆。那是4月15日，4月23日反馈，农历3月11命主已经去世，甲辰年戊辰月甲寅日。富贵在天，生死在命，多行善事。德行够，遇到高人指点，也可能是另一结局。大龙盲派八字实战群，玩的就是公平公正公开，易学圈子不大，相信很多易友听说过，期待能在易学道路相向前行。共同学习，不断提高命理水平。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
9,7,8,12,10,4,8,10,1,乾壬午辛亥癸卯辛酉,5,群里实战过三关，无论大师讲什么，过三关马上见分晓。盲派过三关，主要指父母过，兄弟关，妻财子女。现在问兄弟的少，一般开始断家境，学业，婚姻。今天这个案例是2026/4/17日刚断，有代表性，发出来各位易友研究。?枭神夺食?是特殊的凶格，大家都知道。于?偏印（枭神）无情克制食神?，导致福气、才华、健康、子女等被压制或损耗。什么情况是偏印？什么情况是枭神？不一定大家都知道。命盘体旺喜食伤泄，而印夺食是枭神。命盘官杀重，喜印化杀生身是偏印。之前整理的过三关案例，有兴趣的可以参考：?乾造：壬午?辛亥?癸卯?辛酉（空辰巳）胎元：壬寅??命宫：己酉大运：壬子3?癸丑?甲寅?乙卯?丙辰?丁巳?戊午癸卯日元生辛亥月，比劫当令月上透印，天干两辛一劫，金水得势。地支自座食神，生年上午财，可惜时上辛酉，印冲食神。生旺用食泄秀，而辛克食，偏印是枭神。命局最凶格局之一，枭神夺食。木火相依早年行北方运，金寒水冷，木无生发，必然学业不成，断高中，实际初中。命主实际不爱学习，学不进，02年生人早早下学。金水得势，年上壬午，午是父亲。卯食生财而酉冲卯，孤财无辅，父母关系不好，命局财星受制太过，父母离婚。枭神夺食人糊涂，自己讲没有，断技术工，25，26顺利挣钱，反馈没有。我讲是比之前顺利，反馈是。可见人是有些糊涂，答非所问。为什么父母离婚是跟父亲过？各位可以自己研究，欢迎有问题留言交流。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
9,11,6,10,8,10,3,9,2,坤壬戌己酉辛酉丙申,5,这是在群里看到的盘，禄与比劫成势。传统命理书中讲女命身弱为喜，从阴阳来讲，女为阴，要以柔克刚。古代夫为妻纲，工作基本以男人为主，而现在社会，男女都可以工作，不能以身弱为喜，但是从阴阳角度来看，女人身弱有现实意义，看到好多绿茶没？？？“禄”在八字中代表?临官之位?，象征俸禄财富代表稳定收入与社会资源。我在学习命理时，比肩，劫财，禄见到不知其所以然，后面随着命理提高，慢慢理解。天干日元，在地支临官，是禄，帝旺是劫财。禄是自身的延伸，运用自如。而劫财，那怕亲如兄妹，各有利益不同，不能完全为自己所用。但本质来讲，都会克财。禄多财官轻，命局失衡，反而贫穷。直断学习，层次，结婚流年，克父，离异命，这才是真正的实断，秒杀江湖大师。命主主要信息如下：之前比劫重的案例，有兴趣的可以参考：坤：壬戌?己酉?辛酉?丙申（空子丑）胎元：庚子?命宫：辛亥大运：戊申10?丁未?丙午?乙巳?甲辰?癸卯?壬寅辛酉日元生己酉月，禄元当令月上透印，天干伤官制官，地支三会酉。本身双禄伏吟从月到日很强，再三会财不见，官虚透，命局失衡，格局很低。分居十年未离婚，对双方都是折磨，心理身理失衡，命主自己讲今年办离婚手续。身强体旺，生的食伤，食伤不生财，反制官，可想而知，命主个性很强，除了自己谁也不服。早年行戊申运，枭印夺食，断高中。中年行官运，而命局官立不住，层次温饱。丁未运杀透，运转南方官杀强旺，流年见官杀必然结婚，断丙戌丁亥结婚。南方运官旺，流年体旺，食伤可以制官，丙申年分居。比劫重重必克父，不见财星命也固，大运见财父必亡。乙巳运，财星透，群比夺财，父亡应期。壬寅年财星一落地，父亡。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
7,9,4,12,10,4,10,2,1,乾庚申丁亥癸卯癸丑,5,这是5月13日在群里看到一案例，当时群里大师断了很多，又是旺喜财官之类，关健事情，一件没有。命主想问还能不能成婚，我当时断了过去，反馈特别慢，我没有继续。这盘一看必父早夭，当然在命主面前，不用太直接，流年基本断出来。后面命主反馈后，大师马上一套组合理论马后炮。这是典型江湖大师，马前炮不行，马后炮牛B。“比劫重重必克父，不见财星命也固”这口诀学点命理的都知道，但是使用中的关键点不一定理解。1. ?比劫重重必克父?“比劫”指八字中的?比肩?与?劫财?，同时印星重，“重重”一般指比劫当令或者印当令，如果以数量来看，比劫与印星要占命局4个。从六亲角度看，财代表?父亲，受制严重，父亲健康受损、早逝、关系疏远或经济支持薄弱?等现象。2. ?不见财星命也固?“不见财星”指八字原局中?没有明现的正财或偏财?（即天干不透、地支无藏）。这种情况下，?父亲未必早亡或受克。大运流年父星现时，父应灾。之前比劫重的案例，有兴趣的可以参考：乾造：庚申?丁亥?癸卯?癸丑（空辰巳）胎元：戊寅?命宫：庚辰大运：戊子5?己丑?庚寅?辛卯?壬辰?癸巳癸卯日元生丁亥月，比劫当令月上透财，天干印生比劫，丁财虚透。地支申亥穿，亥中甲木坏。亥卯半会，卯上透癸，座下食神能否生财？当然生不了财。命局金水成局成势，阴阳失衡，非常困难。早年行北方运，己丑运生印而食伤受制，断初中。中年行东方运，但大运透印克食伤，只能技术打工，断温饱。反馈是技校，温饱。命中财星受制产生两个问题，一父夭命。月上丁是父，座亥死地。命局中没有一点生机，亥中甲被太岁克，不用看大运，流年引动必亡。断壬戌，癸亥，反馈是84年，并没有月份，当然可能是癸亥年丑月。财星受制，食神卯又生不了财，什么时候有婚姻？有易友能给解开这个迷？子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
6,6,3,3,2,4,2,10,2,坤己巳丙寅乙卯乙酉,5,这是群中看的一个案例，八专日与比劫配伤官，这盘很明显不利夫，所以我断此盘印证所学，特录此例，大家可以参考。乙卯日是八专日之一，乙木坐于卯木禄地，干支一气，木气专旺生在丙寅月，伤官这么强。女命伤官旺克夫。伤官克官要注意，伤官无制，官弱才是不利夫。不见官而伤官生财，财暗生官反而旺夫。之前婚不好的案例，有兴趣的可以参考：坤造：己巳?丙寅?乙卯?乙酉（空子丑）胎元：丁巳??命宫：庚午大运：丁卯4?戊辰?己巳?庚午?辛未?壬申?癸酉乙卯日元生丙寅月，比劫当令月上透伤官，天干伤官生财，但比劫克财。地支寅巳穿，巳中官坏，卯酉冲，杀坏。木火一气制官杀，官杀很难立住。乙卯日八专日，夫宫卯官之胎地，不利夫。断家境温饱，婚不好，二本，技术工作。读书时行戊辰运，喜财财透，可以读大学，但原局财不重，学习不会多好，断二本，反馈是大专。有易友断是发财命，我断是技术工作，温饱。命中喜财，年上己巳，寅巳穿，财被比劫劫财，天干比肩还克财，原局财坏，大运行南方火地，只能泄透，技术工，而不可能发大财。命中官杀被制一路南方运，食伤旺地，加重了官杀的失衡，必然婚姻出问题。实际上38岁还没有婚姻。尽管命主认为自己个性好，但伤官这么旺，肯定很自我，性格强势。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
4,2,8,12,3,1,7,3,1,乾丁丑辛亥丙子庚寅,5,易缘自称真盲派命理，又说是业余算命。一易友在群里讲想进体制，真盲派命理师讲9块9给算为什么吃皇粮。真盲派命理看下面：这个八字我看过是吧？我有印象，亥子丑，我记得很清楚啊。这八字亥子丑会成了官局，是财来生的官，官在我家里。这八字是发财的，本来这八字是合财的，你看到没有？丙辛合，虽然我家里没有财，但是我庚金在家里面，我是合财的，你就是求财的。但是这个八字为什么吃不了皇粮呢？因为天干透出了丁火，知道吧？丁火是比劫克财，比劫做功吃不了皇粮。比劫克财吃皇粮大把，盲派自古没有做功一说。我用语音讲了：鑫鑫易友讲得真好，丁火是贵点。官重用印化，财来坏印而比劫克财。为了9块9，不吃皇粮就是发财？真盲派命理不高兴了，讲他动了群里大师的蛋糕，一个9块9都用套路的真盲派命理，在我眼里只值9毛9。好多直接发红包的求测，我都不点，一个红包算不了。我直接断命主没有钱，家里也没钱。命主大专，目前专升本，好像明年本科毕业，现在打工，自己没钱，家里一般，可能有百万。乾造：丁丑?辛亥?丙子?庚寅（空申酉）胎元：壬寅??命宫：甲辰大运：庚戌9?己酉?戊申?丁未?丙午?甲辰?癸卯丙子日元生辛亥月，七杀当令月上透财，地支亥子丑会官局，寅亥合时上寅印化，杀印相生。天干丙辛合财，时上庚寅透财，财从丑中出，地支有气，庚来克寅贪财坏印。正偏财混杂命局无情，印有损当然无贵。吃不了皇粮能否发财？丙辛合财，合住财可以发财。年上丁火比劫虚透，丁在丑上算入墓，被丑泄，亥子丑会官，丑当水看，丁火自身难保，助不了身。从这个角度看，此人母亲必然打胎。一路往西方财地，财越重体越弱，本本分分，还能吃口饭。真盲派命理没有断一句现实能反馈的事，而我铁口直断，命主无财，家里没财。看命宫胎元，命主倒是没吃过苦。小心算命套路，先是9块9，再私聊99，最后再化灾补财库几百几千。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
9,9,10,2,8,2,8,4,1,乾壬申癸丑辛丑辛卯,5,玄易奇真易学专家证是他微信头像，最好的广告朴实无华，一眼能看到，专家证，英汉双语，B格满满。大龙既羡慕又妒忌，同时有一点自责，为什么我不能出点钱买一个证？我不断反思总结，后面想通我脸皮薄，若买一个证不好意思用作微信头像。我研究命理几十年，若谈价值无非是十几万字，上万例的案例总结，断错为什么错，不断总结寻找通用规律。了解我的朋友知道，我可以无私交流八字命理，所以遇到经典案例，我会分析命理，让易友们一起学习，供大家参考，求同存异。之前婚不好的案例，有兴趣的可以参考：乾造：壬申?癸丑?辛丑?辛卯（空寅卯）胎元：甲辰??命宫：癸丑大运：甲寅6?乙卯?丙辰?丁巳?戊午?己未?庚申辛丑日元生癸丑月，印星当令月上透食，地支丑伏吟到日印重生比劫申金，时上卯被辛盖头克。天干比劫生食伤，食伤泄透生财，丑月水有余气，妻宫印克食伤，财不丰。卯申暗合，申是卯的正夫，卯在时婚晚。玄易奇真大师断了几点：与妻，财不利。有学历，易技艺。会说，但易从语言上得罪人，有傲气。故执，有争妻之象。有宗教信仰，有异性缘。长象挺好。但无火不为太好。我断两点与大师相反，不巧全对。总之他的断语，我基本不认同。食伤泄秀生财，而食伤虚透无根，命中财被克坏，虽行财运，家资不丰。行财运制不住印学历低。乙卯运财旺，卯申合，是比劫的妻，丙辰运，卯辰穿，财被穿坏，必然无婚。婚从命相上看，要到丁巳运，而且是娶二婚女。此造财被财严重，异性缘重，估计要做梦时，毕竟梦里什么都有。大师感叹天道不公，之前带的徒弟，能断准八字，他们都说重新跟人学命理，不再认他，没有天理，他将徒弟清理门户。后面他总结新的绝技，他们没学到，是天意。有没有一种可能，他们没学到新绝技才是真天意？想收徒要一张易学专家证。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
4,2,9,1,5,9,1,3,2,坤丁丑壬子戊申甲寅,5,这是易友龙老师发在朋友圈的案例，龙老师是高手，身材身高都断对。我当时看到此盘，认为会被老公家暴，龙老师讲他与我看法一样，我们都没断对，此盘发出来，供大家参考，算我自己的反思总结：命主大专，层次温饱，19结婚，21生儿，25生女，身材很好，162身高。偏枯的女命案例可以参考：霸变女优坤造：丁丑?壬子?戊申?甲寅（空辰巳）胎元：癸卯??命宫：壬寅大运：癸丑3?甲寅?乙卯?丙辰?丁巳?戊午?己未戊申日元生壬子月，财星当令月上透财，天干财生杀旺，年上透印丁壬合，印被财坏。地支寅申冲食制杀，而申子半会，财化食生杀，相对而言杀来克身。甲寅运正当读书时，七杀克身为忌，好在甲木生丁火，可以化一点煞，学历大专。财杀相悖，无情克身温饱。辛丑年寅丑暗合断结婚，实际生子。我们两人都断错，认为被老公家暴，实际是老公被她家暴。现在行乙卯运，官来克身，命中财官重，再见官不吉。后面我再细推此盘，时上甲寅，戊在寅中长生，寅中有丙化寅生戊，年上丁丑合克月上壬子，比劫制财代表命主强势。而杀禄代表老公，有丙化寅生戊，老公让着她，反而老公被命主打。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,1,6,12,5,5,7,9,2,坤丙子己亥戊辰庚申,6,日月之灵是相识多年的老易友，此坤造是他发出来，试断了这个八字，这个八字财旺印弱，学历高，有些特点，做个记录。自己建了盲派八字实战群，各位老师轮流出题，答案只有出题老师知道，打真擂，上榜老师分享，收获良多。现在其它群基本不会断八字，除非是特别八字。坤：丙子?己亥?戊辰?庚申（空戌亥）胎元：庚寅??命宫：庚申大运：戊戌7 ?丁酉?丙申?乙未?甲午?癸巳戊辰日元生己亥月，财星当令。月上比却合财，自座比却，财库。比却合财要看体旺，能合住财，就有财。年上丙子，印星虚透，时上庚申，食神泄秀，合财是合不住。支申子辰三合财局，亥月财当令，财气冲天，可顺不可逆，反以食神顺生为用。问学历婚姻，断研究生，未婚，癸卯有动婚象，还断了上有一哥。学历看印。申子辰三合财局，命局财坏印，印星坏尽，只要大运制印星就有学历。大运一路西方运，食伤泄秀生财，财来坏印，不过大运天干印透，博士到不了，只能是研究生。一路食伤旺，不可能有婚。月上比却，很明显，上面有兄姐，断一哥，实际是姐。后面与日月之灵易友私聊，将家境，性格都断对。学过大龙盲派象法，直读就可以，不再解释。看到此处易友，帮点个赞，谢谢。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
4,4,3,7,10,6,9,1,2,坤丁卯丙午癸巳壬子,6,各位易友见过各种假大师，有敢实战？无论假大师的群，还是别人的群，反馈完假大师会出来马后炮，装一装。大龙各大群实断，所断截图反馈截图。坤造：丁卯??丙午?癸巳?壬子（空午未）胎元：丁酉??命宫：辛亥大运：丁未9?戊申?己酉?庚戌癸巳日元生丙午月，财星当令月上透财，年上丁卯，食生财。天干正偏财混杂，财星得令得势。时上壬子，日禄归时，财强身弱，影响层次。问：官贵？老板？打工？断打工，反馈是。这不仅是选择题，我们要知道为什么。官贵：至少有学历，初运丁未，子未穿，禄受制，喜印不见印，没学历，实际初中。老板：用食神生财，子卯刑，禄与食全坏，不是做生意的料。打工：虽行西方运扶身，但原局财太强，印无立身之地，行印运只是顺利，不可能有发迹。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
2,10,3,11,1,11,3,3,1,乾乙酉丙戌甲戌丙寅,6,这是一个读者发的盘，想看看怎样。命理推断，不断过去，不断流年，怎样推断未来？大龙的朋友圈，公众号，视频号，全是我断截图，反馈截图。命理圈一直知道大龙断流年，层次，细节顶顶的。乾造：乙酉?丙戌?甲戌?丙寅（空申酉）胎元：戊子??命宫：辛巳大运：乙酉4?甲申?癸未?壬午甲戌日元生丙戌月，财当令月上透食，戌财从月伏到日，时上丙寅，双食泄身太过，好在时见寅，日禄归时有根气。年上乙酉，酉官克禄，日禄归时不喜官，双戌穿酉，官受制，禄可用。断家境一般，学习一般，辛丑年出灾撞邪，反馈是。双食盗气生财，喜印不见印，印生身这本，家境一般。读书行本方运克禄，本无学历，好在大运透比劫助身，读一本。双戌穿酉制官，乙酉运辛丑流年，丑刑戌辛克乙，丑加强了酉的力量，禄被克出灾，丑中辛为邪气，反馈家人问仙是。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
